model_name,colsample_bytree,learning_rate,max_depth,n_estimators,scale_pos_weight,subsample,train_accuracy,train_roc_auc,train_precision_1,train_recall_1,train_f1_1,val_accuracy,val_roc_auc,val_precision_1_at_0.5,val_recall_1_at_0.5,val_f1_1_at_0.5,best_threshold,val_precision_1,val_recall_1,val_f1_1
xgboost_model_294,0.8,0.05,5,900,5,0.8,0.9454555869001762,0.9756602543009274,0.5393561941922413,0.8293527172031845,0.6536328089478949,0.9384188719593691,0.955748910941977,0.5025143678160919,0.7533656435110393,0.6028873087696617,0.67,0.6199261992619927,0.6332794830371568,0.6265316995205115
xgboost_model_253,0.8,0.03,6,700,1,0.8,0.9638351495711197,0.9762416616564205,0.8197736116024054,0.5347871235721703,0.6473011661196844,0.9579323710237905,0.9557390601610689,0.7521079258010118,0.48034464189553044,0.5862635557016103,0.28,0.5925387596899225,0.6585891222401723,0.6238204539658251
xgboost_model_305,0.8,0.05,6,900,1,0.8,0.9705296922658342,0.9851644985944839,0.8641382621219396,0.6230529595015576,0.7240547063555913,0.9583667468591286,0.9557262646968712,0.7457763475462591,0.4991922455573506,0.5980645161290322,0.32,0.6223628691983122,0.6354334948842219,0.6288302691180389
xgboost_model_270,0.8,0.03,7,900,5,0.8,0.952314808185242,0.9814964400632089,0.5784290738569754,0.8539286950501904,0.6896840928152083,0.9404570970328789,0.955711368627981,0.5138837467604591,0.7474421109316102,0.6090390522158842,0.57,0.5597240189736955,0.6989768443726441,0.6216475095785441
xgboost_model_298,0.8,0.05,5,1100,5,0.8,0.9483410422006787,0.9781565063255996,0.5552763819095478,0.8414676358601593,0.669051878354204,0.9385191125367549,0.9556946021576529,0.5030763662685487,0.7485191168551427,0.6017316017316018,0.67,0.6245353159851301,0.6332794830371568,0.6288770053475936
xgboost_model_314,0.8,0.05,7,700,5,0.8,0.957448484240975,0.9851251562958644,0.60896,0.8782739125418253,0.7192327679879057,0.9407578187650361,0.9556900364597831,0.5159090909090909,0.7334410339256866,0.6057371581054036,0.64,0.6113092205807438,0.6462035541195477,0.6282722513089005
xgboost_model_274,0.8,0.03,7,1100,5,0.8,0.9559806968052353,0.9841600457073871,0.6000635576388337,0.8714664820583824,0.7107368024842382,0.9408246458166266,0.955681576490201,0.5161897590361446,0.7382875605815832,0.6075781076888987,0.61,0.5875894988066825,0.6628971459343026,0.6229757085020243
xgboost_model_309,0.8,0.05,6,1100,1,0.8,0.9732504689759855,0.9876456960333418,0.8839744588070394,0.6548978885427483,0.7523860021208908,0.958299919807538,0.9556797252723674,0.7426294820717132,0.501884760366182,0.5989717223650386,0.34,0.6403995560488346,0.6214324178782983,0.6307734353648538
xgboost_model_317,0.8,0.05,7,900,1,0.8,0.9768877178411353,0.9908742425705825,0.9080270067516879,0.6982808353524864,0.7894599530393948,0.9581662657043571,0.9556577216780122,0.7372549019607844,0.5061927840603123,0.6002554278416348,0.29,0.6155388471177945,0.6612816370490038,0.6375908618899273
xgboost_model_325,0.8,0.05,8,700,1,0.8,0.9793936963899589,0.9927198502373591,0.9248495523264347,0.7270104995961694,0.8140826873385013,0.9577653033948142,0.9556351425755221,0.734017363851618,0.5008077544426495,0.5953905249679897,0.29,0.6118811881188119,0.6655896607431341,0.6376063966984782
xgboost_model_262,0.8,0.03,6,1100,5,0.8,0.9482121633038821,0.9783297241213438,0.5546410608139003,0.8397369331948771,0.668043508192207,0.9388866613205026,0.9556293299433603,0.5050614605929139,0.7522886375875067,0.6043694570625135,0.62,0.586905322656618,0.6709746903607969,0.6261306532663317
xgboost_model_282,0.8,0.03,8,900,5,0.8,0.9603339395414775,0.9870719707663362,0.6277891295463833,0.886235144802123,0.7349535929576118,0.9419272921678695,0.9555778699243036,0.5229818462726922,0.7291330102315563,0.6090868196131354,0.64,0.6174321503131524,0.6370490037695208,0.62708719851577
xgboost_model_254,0.8,0.03,6,700,5,0.8,0.9426059312932281,0.9725323636448473,0.5241666047961987,0.8145840544594438,0.6378749548247199,0.9372493985565357,0.9555158493309727,0.4963144963144963,0.7614431879375336,0.6009349766255844,0.69,0.6345831001678791,0.6106623586429726,0.6223929747530187
xgboost_model_241,0.8,0.03,5,700,1,0.8,0.9609210545157734,0.9702167327402464,0.7944576986603047,0.4994807892004154,0.6133465570983282,0.9580660251269714,0.9554890018764828,0.7635726795096323,0.46957458266020463,0.5815271757252417,0.28,0.5911089399120665,0.6515885837372105,0.6198770491803278
xgboost_model_302,0.8,0.05,6,700,5,0.8,0.9489925966233729,0.9790060020108029,0.5588078359631069,0.8458520826122072,0.673001009822822,0.9385859395883454,0.9554804172134712,0.503433321286592,0.7501346257404415,0.6025086505190311,0.66,0.6128364389233955,0.6375875067312871,0.6249670097651095
xgboost_model_258,0.8,0.03,6,900,5,0.8,0.945756304326035,0.9757147436663622,0.5410675299254687,0.8292373370254991,0.6548519362186788,0.9385191125367549,0.9554772135515207,0.5030476873431338,0.7555196553581045,0.6039603960396039,0.6,0.5712371594461814,0.6887452880990845,0.62451171875
xgboost_model_250,0.8,0.03,5,1100,5,0.8,0.9414030615897928,0.9718746660692712,0.5177325794845437,0.8135456328602746,0.6327739387956565,0.9366813686180165,0.9554728013224869,0.4933098591549296,0.7544426494345718,0.5965509899936129,0.6,0.5655414291977203,0.6946688206785138,0.6234896085065249
xgboost_model_286,0.8,0.03,8,1100,5,0.8,0.964651382584165,0.9897362154101932,0.6561453449430676,0.9042344525210568,0.760467711416234,0.9427960438385459,0.9554710652062802,0.528758429194764,0.7178244480344642,0.6089538602101416,0.66,0.6395089285714286,0.617124394184168,0.6281172924088791
