model_name,threshold,val_roc_auc,val_accuracy,val_precision_1,val_recall_1,val_f1_1
xgboost_model_321,0.3,0.9553261522579284,0.9542902967121091,0.6274101094319958,0.6483575659666129,0.6377118644067796
xgboost_model_157,0.29,0.9556351425755221,0.9530539962576852,0.6118811881188119,0.6655896607431341,0.6376063966984782
xgboost_model_325,0.29,0.9556351425755221,0.9530539962576852,0.6118811881188119,0.6655896607431341,0.6376063966984782
xgboost_model_317,0.29,0.9556577216780122,0.9533547179898423,0.6155388471177945,0.6612816370490038,0.6375908618899273
xgboost_model_321,0.32,0.9553261522579284,0.9550588078053996,0.6380798274002157,0.6370490037695208,0.6375639989221235
xgboost_model_321,0.31,0.9553261522579284,0.9546244319700615,0.6323607427055703,0.6418955304254174,0.6370924639230358
xgboost_model_321,0.33,0.9553261522579284,0.9553261160117615,0.643014301430143,0.6295099623047927,0.6361904761904762
xgboost_model_141,0.28,0.9558116029614652,0.9524525527933707,0.6056475170399221,0.6698976844372644,0.636154436205574
xgboost_model_313,0.28,0.9558116029614652,0.9524525527933707,0.6056475170399221,0.6698976844372644,0.636154436205574
xgboost_model_141,0.29,0.9558116029614652,0.9530205827318898,0.6123567513702043,0.66182014001077,0.6361283643892339
xgboost_model_313,0.29,0.9558116029614652,0.9530205827318898,0.6123567513702043,0.66182014001077,0.6361283643892339
xgboost_model_157,0.28,0.9556351425755221,0.9523188986901898,0.6042677012609118,0.6709746903607969,0.635876499106915
xgboost_model_325,0.28,0.9556351425755221,0.9523188986901898,0.6042677012609118,0.6709746903607969,0.635876499106915
xgboost_model_317,0.27,0.9556577216780122,0.9519513499064421,0.6001912960306074,0.6758212170166936,0.6357649442755826
xgboost_model_285,0.32,0.9557868273362604,0.9548583266506282,0.6366090712742981,0.6348949919224556,0.6357508762469668
xgboost_model_317,0.28,0.9556577216780122,0.9525527933707565,0.6070553650171484,0.6672051696284329,0.6357106208311954
xgboost_model_321,0.29,0.9553261522579284,0.9534215450414327,0.6175723717623159,0.6548196015078083,0.6356508102456874
xgboost_model_157,0.31,0.9556351425755221,0.9540229885057471,0.6253256904637832,0.6462035541195477,0.635593220338983
xgboost_model_325,0.31,0.9556351425755221,0.9540229885057471,0.6253256904637832,0.6462035541195477,0.635593220338983
xgboost_model_317,0.3,0.9556577216780122,0.953588612670409,0.6197543500511771,0.6521270866989769,0.6355287326161112
xgboost_model_153,0.32,0.9558447714136361,0.9543905372894947,0.6304347826086957,0.6402800215401184,0.635319262623564
xgboost_model_317,0.32,0.9556577216780122,0.9546578454958567,0.6341201716738197,0.6365105008077544,0.6353130878796023
xgboost_model_285,0.29,0.9557868273362604,0.9531876503608661,0.6149193548387096,0.6569736133548735,0.6352512366571206
xgboost_model_153,0.34,0.9558447714136361,0.9553261160117615,0.6438053097345132,0.6268174474959612,0.6351978171896316
xgboost_model_141,0.27,0.9558116029614652,0.9517174552258755,0.5979087452471483,0.6774367259019924,0.6351931330472103
xgboost_model_313,0.27,0.9558116029614652,0.9517174552258755,0.5979087452471483,0.6774367259019924,0.6351931330472103
xgboost_model_285,0.31,0.9557868273362604,0.9542568831863139,0.6288278775079198,0.6413570274636511,0.6350306584910691
xgboost_model_329,0.32,0.9552148489846513,0.9545910184442662,0.6334405144694534,0.6365105008077544,0.6349717969379532
xgboost_model_317,0.31,0.9556577216780122,0.9541232290831329,0.6271008403361344,0.6429725363489499,0.6349375166179207
xgboost_model_157,0.3,0.9556351425755221,0.9533881315156375,0.6176171079429735,0.6532040926225094,0.6349123266160691
xgboost_model_325,0.3,0.9556351425755221,0.9533881315156375,0.6176171079429735,0.6532040926225094,0.6349123266160691
xgboost_model_141,0.31,0.9558116029614652,0.9539561614541566,0.6249347939488784,0.6451265481960151,0.634870164281929
xgboost_model_313,0.31,0.9558116029614652,0.9539561614541566,0.6249347939488784,0.6451265481960151,0.634870164281929
xgboost_model_141,0.3,0.9558116029614652,0.9534215450414327,0.6181725370086779,0.6521270866989769,0.6346960167714885
xgboost_model_313,0.3,0.9558116029614652,0.9534215450414327,0.6181725370086779,0.6521270866989769,0.6346960167714885
xgboost_model_157,0.32,0.9556351425755221,0.9544907778668805,0.6322822020309995,0.6370490037695208,0.634656652360515
xgboost_model_325,0.32,0.9556351425755221,0.9544907778668805,0.6322822020309995,0.6370490037695208,0.634656652360515
xgboost_model_153,0.33,0.9558447714136361,0.9547580860732424,0.636019469983775,0.6332794830371568,0.634646519158122
xgboost_model_321,0.34,0.9553261522579284,0.9555600106923282,0.6477846326416152,0.6219709208400647,0.6346153846153846
xgboost_model_321,0.28,0.9553261522579284,0.9527532745255279,0.6101442068622576,0.6607431340872375,0.6344364012409514
xgboost_model_285,0.3,0.9557868273362604,0.953588612670409,0.6204943357363543,0.6488960689283791,0.6343774677546723
xgboost_model_141,0.32,0.9558116029614652,0.9543905372894947,0.6312700106723586,0.6370490037695208,0.6341463414634146
xgboost_model_313,0.32,0.9558116029614652,0.9543905372894947,0.6312700106723586,0.6370490037695208,0.6341463414634146
xgboost_model_141,0.26,0.9558116029614652,0.9509489441325849,0.5902552204176335,0.6849757673667205,0.634097706879362
xgboost_model_313,0.26,0.9558116029614652,0.9509489441325849,0.5902552204176335,0.6849757673667205,0.634097706879362
xgboost_model_153,0.36,0.9558447714136361,0.9561280406308473,0.6572254335260116,0.6122778675282714,0.6339559520490661
xgboost_model_285,0.33,0.9557868273362604,0.9552258754343759,0.6433721575152523,0.624663435648896,0.6338797814207651
xgboost_model_329,0.3,0.9552148489846513,0.9535217856188185,0.619979402677652,0.6483575659666129,0.6338510134245854
xgboost_model_157,0.34,0.9556351425755221,0.9552927024859663,0.6444073455759599,0.6235864297253635,0.6338259441707718
xgboost_model_325,0.34,0.9556351425755221,0.9552927024859663,0.6444073455759599,0.6235864297253635,0.6338259441707718
xgboost_model_317,0.26,0.9556577216780122,0.9511160117615611,0.5921421889616464,0.6817447495961227,0.6337922403003755
xgboost_model_329,0.31,0.9552148489846513,0.9539561614541566,0.6257217847769029,0.6418955304254174,0.633705475810739
xgboost_model_329,0.28,0.9552148489846513,0.9525193798449613,0.6078140454995055,0.66182014001077,0.6336684712554782
xgboost_model_157,0.35,0.9556351425755221,0.9557604918470997,0.651678998292544,0.6165858912224017,0.6336469286109574
xgboost_model_325,0.35,0.9556351425755221,0.9557604918470997,0.651678998292544,0.6165858912224017,0.6336469286109574
xgboost_model_329,0.29,0.9552148489846513,0.9530539962576852,0.6142568250758341,0.654281098546042,0.6336375488917861
xgboost_model_285,0.28,0.9557868273362604,0.952352312215985,0.605896805896806,0.6639741518578353,0.6336073997944501
xgboost_model_153,0.35,0.9558447714136361,0.9555934242181235,0.6491525423728813,0.6187399030694669,0.6335814722911497
xgboost_model_285,0.34,0.9557868273362604,0.955526597166533,0.6482525366403608,0.6192784060312332,0.6334343156155329
xgboost_model_157,0.36,0.9556351425755221,0.9560946271050521,0.6572090330052114,0.6112008616047389,0.6333705357142857
xgboost_model_325,0.36,0.9556351425755221,0.9560946271050521,0.6572090330052114,0.6112008616047389,0.6333705357142857
xgboost_model_321,0.27,0.9553261522579284,0.9519513499064421,0.6014527845036319,0.6688206785137318,0.633350331463539
xgboost_model_329,0.34,0.9552148489846513,0.9552927024859663,0.644891122278057,0.6219709208400647,0.6332236842105263
xgboost_model_329,0.33,0.9552148489846513,0.954824913124833,0.6380535811919081,0.6284329563812601,0.6332067281606077
xgboost_model_333,0.25,0.954658428536287,0.9512830793905372,0.5942371280113368,0.6774367259019924,0.6331152491192753
