model_name,threshold,precision_1,recall_1,f1_1
xgboost_model_44,0.8,0.5454155955441302,0.6855142703284868,0.6074922452875209
xgboost_model_44,0.85,0.6038338658146964,0.6106623586429726,0.6072289156626506
xgboost_model_44,0.75,0.49375223134594787,0.7447495961227787,0.5938170888793474
xgboost_model_44,0.9,0.6952662721893491,0.5061927840603123,0.5858522904331568
xgboost_model_44,0.7,0.448,0.7840603123317178,0.5701977677697279
xgboost_model_44,0.65,0.41184460744362944,0.8163704900376952,0.5474900686168291
xgboost_model_44,0.6,0.3787512100677638,0.8427571351642434,0.5226248121556186
xgboost_model_44,0.55,0.351186588286523,0.8686052773290253,0.5001550387596899
xgboost_model_44,0.95,0.8420348058902276,0.3387183629509962,0.48310291858678955
xgboost_model_44,0.5,0.32519204254480993,0.8890683898761443,0.47620421113354483
xgboost_model_44,0.45,0.3026434094587304,0.9063004846526656,0.45376112159611753
xgboost_model_44,0.4,0.2818991097922849,0.9208400646203554,0.4316546762589928
xgboost_model_44,0.35,0.2623941958887545,0.934841141626279,0.4097722176324796
xgboost_model_44,0.3,0.24168391994478952,0.9429186860527733,0.3847506042627994
xgboost_model_44,0.25,0.22351160443995963,0.9542272482498654,0.3621870209504343
xgboost_model_44,0.2,0.20098698968147152,0.9649973074851912,0.3326835607537362
xgboost_model_44,0.15,0.18184556682397832,0.9752288637587506,0.30653351387948546
xgboost_model_44,0.1,0.1561994034938219,0.9870759289176091,0.26971748087110065
xgboost_model_44,0.05,0.12628196362641872,0.9946149703823371,0.22410968877024814
