model_name,threshold,precision_1,recall_1,f1_1
xgboost_model_142,0.65,0.6170655567117586,0.6386645126548196,0.6276792802328658
xgboost_model_142,0.6,0.5804651162790697,0.6720516962843296,0.6229099076615923
xgboost_model_142,0.7,0.6520450503852994,0.5923532579429187,0.6207674943566591
xgboost_model_142,0.75,0.6959183673469388,0.5508885298869144,0.6149684400360685
xgboost_model_142,0.55,0.5453785027185278,0.7022078621432418,0.6139359698681732
xgboost_model_142,0.5,0.5159090909090909,0.7334410339256866,0.6057371581054036
xgboost_model_142,0.45,0.4874181316787315,0.7614431879375336,0.5943673812526271
xgboost_model_142,0.8,0.7374798061389337,0.49165320409262253,0.589983844911147
xgboost_model_142,0.4,0.4545172306737038,0.7883683360258481,0.5766049625836943
xgboost_model_142,0.35,0.4243190115136198,0.8136779752288638,0.5577703949796973
xgboost_model_142,0.85,0.7963891675025075,0.42757135164243404,0.5564120532585844
xgboost_model_142,0.3,0.3924785461887935,0.8373721055465805,0.5344560921120467
xgboost_model_142,0.25,0.3609865470852018,0.8669897684437264,0.5097356340034827
xgboost_model_142,0.9,0.8553719008264463,0.3344103392568659,0.4808362369337979
xgboost_model_142,0.2,0.3281807372175981,0.8917609046849758,0.47979139504563234
xgboost_model_142,0.15,0.2930024129610479,0.9154550350026925,0.4439221830526178
xgboost_model_142,0.1,0.25329090120063646,0.9429186860527733,0.39931584948688714
xgboost_model_142,0.95,0.9343065693430657,0.20678513731825526,0.3386243386243386
xgboost_model_142,0.05,0.19957726109689622,0.9660743134087237,0.33081320302415634
