model_name,threshold,precision_1,recall_1,f1_1
xgboost_model_321,0.3,0.6274101094319958,0.6483575659666129,0.6377118644067796
xgboost_model_321,0.32,0.6380798274002157,0.6370490037695208,0.6375639989221235
xgboost_model_321,0.31,0.6323607427055703,0.6418955304254174,0.6370924639230358
xgboost_model_321,0.33,0.643014301430143,0.6295099623047927,0.6361904761904762
xgboost_model_321,0.29,0.6175723717623159,0.6548196015078083,0.6356508102456874
xgboost_model_321,0.34,0.6477846326416152,0.6219709208400647,0.6346153846153846
xgboost_model_321,0.28,0.6101442068622576,0.6607431340872375,0.6344364012409514
xgboost_model_321,0.27,0.6014527845036319,0.6688206785137318,0.633350331463539
xgboost_model_321,0.26,0.5945049739459971,0.6758212170166936,0.6325604838709677
xgboost_model_321,0.36,0.6607981220657277,0.6063543349488422,0.6324066273518675
xgboost_model_321,0.35,0.6530494821634062,0.6112008616047389,0.631432545201669
xgboost_model_321,0.25,0.5856022150438394,0.6833602584814217,0.6307157057654076
xgboost_model_321,0.37,0.6618876941457587,0.596661281637049,0.6275842537524781
xgboost_model_321,0.39,0.6758104738154613,0.5837372105546581,0.6264085524414909
xgboost_model_321,0.38,0.6687041564792175,0.589122240172321,0.6263956484397366
xgboost_model_321,0.24,0.5748422001803426,0.6865912762520194,0.6257668711656442
xgboost_model_321,0.23,0.5649122807017544,0.6935918147549811,0.622673434856176
xgboost_model_321,0.22,0.5586472602739726,0.7027463651050081,0.6224660147865491
xgboost_model_321,0.4,0.6776859504132231,0.5740441572428648,0.6215743440233236
xgboost_model_321,0.21,0.5496056454960565,0.7129779213785676,0.6207219878105954
xgboost_model_321,0.41,0.6857887874837028,0.5665051157781368,0.6204659392509584
xgboost_model_321,0.42,0.6920507682030728,0.5578890683898762,0.6177698270721527
xgboost_model_321,0.43,0.6995912806539509,0.5530425417339795,0.6177443609022556
xgboost_model_321,0.44,0.7069444444444445,0.5481960150780829,0.6175310888686685
xgboost_model_321,0.45,0.7155049786628734,0.5417339795368874,0.6166104811523139
