model_name,threshold,precision_1,recall_1,f1_1
xgboost_model_37,0.3,0.6038824763903463,0.6198169089929995,0.6117459473824076
xgboost_model_37,0.25,0.5627843494085533,0.6661281637049004,0.6101109741060419
xgboost_model_37,0.35,0.6507936507936508,0.5740441572428648,0.6100143061516452
xgboost_model_37,0.4,0.6908450704225352,0.5282714054927302,0.5987183399450717
xgboost_model_37,0.2,0.5141199226305609,0.715670436187399,0.5983791085096803
xgboost_model_37,0.45,0.7303370786516854,0.49003769520732365,0.5865291653238801
xgboost_model_37,0.15,0.4534702769996888,0.7845988152934841,0.5747534516765286
xgboost_model_37,0.5,0.7711627906976745,0.4464189553042542,0.5654843110504775
xgboost_model_37,0.55,0.8021164021164021,0.4081852450188476,0.5410421127765882
xgboost_model_37,0.1,0.369901547116737,0.8497576736672051,0.5154336109750123
xgboost_model_37,0.6,0.8312655086848635,0.3607969843834141,0.5031918888471648
xgboost_model_37,0.65,0.8672566371681416,0.3166397415185784,0.463905325443787
xgboost_model_37,0.7,0.9001782531194296,0.2719439956919763,0.41770057899090157
xgboost_model_37,0.05,0.266059295861643,0.9278406031233172,0.41353654146165847
xgboost_model_37,0.75,0.9166666666666666,0.2250942380183091,0.3614353653264159
xgboost_model_37,0.8,0.940677966101695,0.17932148626817448,0.3012211668928087
xgboost_model_37,0.85,0.9666666666666667,0.14054927302100162,0.2454160789844852
xgboost_model_37,0.9,0.978494623655914,0.09800753904146473,0.17816935878609888
xgboost_model_37,0.95,1.0,0.045234248788368334,0.0865533230293663
