model_name,threshold,precision_1,recall_1,f1_1
xgboost_model_296,0.84,0.6024217961654894,0.6429725363489499,0.6220369887991665
xgboost_model_296,0.83,0.5903147699757869,0.6564351103931072,0.6216216216216216
xgboost_model_296,0.85,0.6151402858655374,0.6257404415724287,0.6203950880939669
xgboost_model_296,0.82,0.5778191985088537,0.6677436725901993,0.6195353484886336
xgboost_model_296,0.87,0.642018779342723,0.589122240172321,0.614434147711317
xgboost_model_296,0.81,0.5633992805755396,0.674744211093161,0.614065180102916
xgboost_model_296,0.86,0.6221606648199446,0.6047388260635433,0.6133260513380666
xgboost_model_296,0.88,0.6573729863692689,0.5713516424340334,0.6113511956208585
xgboost_model_296,0.8,0.55125977410947,0.6833602584814217,0.6102428468381823
xgboost_model_296,0.79,0.5417891642167156,0.6946688206785138,0.6087777253421425
xgboost_model_296,0.89,0.6761213720316622,0.5519655358104469,0.6077675659650164
xgboost_model_296,0.78,0.5309090909090909,0.7075928917609047,0.6066481994459834
xgboost_model_296,0.77,0.5213474343909127,0.7167474421109317,0.6036281179138322
xgboost_model_296,0.76,0.5145038167938931,0.7259019924609585,0.6021889658253294
xgboost_model_296,0.9,0.6971631205673758,0.5293484114162628,0.6017753290480563
xgboost_model_296,0.75,0.505930318754633,0.7350565428109854,0.5993413830954994
xgboost_model_296,0.74,0.4974838245866283,0.745288099084545,0.5966803190342747
xgboost_model_296,0.73,0.4867411025819958,0.7512116316639742,0.5907262333262757
xgboost_model_296,0.91,0.7152724481964697,0.501884760366182,0.589873417721519
xgboost_model_296,0.72,0.47809847198641764,0.7582121701669359,0.5864223240316535
xgboost_model_296,0.71,0.47256401729298303,0.7652127086698977,0.5842927631578947
xgboost_model_296,0.7,0.4651692708333333,0.769520732364028,0.5798336376546966
xgboost_model_296,0.69,0.4569789674952199,0.7722132471728594,0.5741741741741742
xgboost_model_296,0.92,0.7324414715719063,0.4717285945072698,0.5738617753029807
xgboost_model_296,0.68,0.4505597014925373,0.7802907915993538,0.5712596096984033
xgboost_model_296,0.67,0.44171964880411746,0.7856758212170167,0.5655038759689922
xgboost_model_296,0.66,0.4351687388987567,0.7915993537964459,0.5616045845272206
xgboost_model_296,0.93,0.7624768946395564,0.44426494345718903,0.5614154474310991
xgboost_model_296,0.65,0.42828282828282827,0.7991383952611739,0.557685080796693
xgboost_model_296,0.64,0.4242937853107345,0.8088314485729672,0.5566055215860664
xgboost_model_296,0.63,0.41804635761589404,0.815831987075929,0.5528188286808976
xgboost_model_296,0.62,0.41082543978349123,0.8174474959612278,0.5468299711815562
xgboost_model_296,0.94,0.7880324543610547,0.4184168012924071,0.5466056982061203
xgboost_model_296,0.61,0.4063247408982195,0.823371028540657,0.5441281138790035
xgboost_model_296,0.6,0.40067778936392073,0.8276790522347873,0.539961356051291
xgboost_model_296,0.59,0.3956043956043956,0.8336025848142165,0.5365684575389948
xgboost_model_296,0.58,0.39079309482111585,0.8411416262789445,0.5336522036214554
xgboost_model_296,0.57,0.3858093126385809,0.8432956381260097,0.5294117647058824
xgboost_model_296,0.56,0.37886100386100385,0.8454496499730748,0.5232461256457257
xgboost_model_296,0.55,0.371900826446281,0.8481421647819063,0.5170715692711753
xgboost_model_296,0.95,0.8204225352112676,0.3764135702746365,0.5160575858250277
xgboost_model_296,0.54,0.3664581885568682,0.8519116855142703,0.5124716553287982
xgboost_model_296,0.53,0.3607825295723385,0.8540656973613355,0.5072765072765073
xgboost_model_296,0.52,0.35512563931509894,0.8599892299407647,0.5026754800125905
xgboost_model_296,0.51,0.3506436831769583,0.8653742595584276,0.49906832298136644
xgboost_model_296,0.5,0.345610278372591,0.8691437802907916,0.4945610540830397
xgboost_model_296,0.49,0.34040764866568607,0.8723747980613893,0.48972188633615477
xgboost_model_296,0.48,0.3352601156069364,0.8745288099084545,0.4847037755558872
xgboost_model_296,0.47,0.3313705583756345,0.8788368336025848,0.48127396048363313
xgboost_model_296,0.46,0.3280031980811513,0.8836833602584814,0.4784256559766764
xgboost_model_296,0.45,0.3234485467399843,0.8869143780290791,0.4740250395740394
xgboost_model_296,0.44,0.31996142719382836,0.8933764135702746,0.4711729622266402
xgboost_model_296,0.43,0.3151021953065859,0.8966074313408724,0.46632124352331605
xgboost_model_296,0.42,0.31182394628869825,0.9003769520732364,0.46322205291591634
xgboost_model_296,0.41,0.30762183950164895,0.9041464728056005,0.4590567327409433
xgboost_model_296,0.4,0.30250134964909126,0.905223478729133,0.45346641489074724
xgboost_model_296,0.39,0.2984070796460177,0.9079159935379645,0.4491807646196883
xgboost_model_296,0.38,0.29444541180567646,0.9106085083467959,0.445
xgboost_model_296,0.37,0.28949164107813036,0.9138395261173936,0.43969426091462627
xgboost_model_296,0.36,0.2857382269146975,0.9181475498115239,0.435838445807771
xgboost_model_296,0.35,0.2823179791976226,0.9208400646203554,0.43214556482183475
xgboost_model_296,0.34,0.27950512778772585,0.9246095853527194,0.42925
