model_name,threshold,precision_1,recall_1,f1_1
xgboost_model_98,0.65,0.593558282208589,0.6252019386106623,0.6089693154996066
xgboost_model_98,0.6,0.5556548949485919,0.6693591814754981,0.6072300928187592
xgboost_model_98,0.7,0.6446331109763493,0.572428648357566,0.6063890473474044
xgboost_model_98,0.55,0.5162681301450411,0.7092084006462036,0.5975499092558983
xgboost_model_98,0.75,0.6984705025491624,0.5164243403338719,0.5938080495356037
xgboost_model_98,0.5,0.4786501377410468,0.7485191168551427,0.583910943079185
xgboost_model_98,0.45,0.44370257966616083,0.7872913301023156,0.5675465838509317
xgboost_model_98,0.8,0.7554945054945055,0.44426494345718903,0.5595116988809766
xgboost_model_98,0.4,0.40708200212992546,0.823371028540657,0.5448066987350793
xgboost_model_98,0.35,0.3695090439276486,0.8470651588583737,0.5145567549885509
xgboost_model_98,0.85,0.8139255702280912,0.3651050080775444,0.504089219330855
xgboost_model_98,0.3,0.32968369829683697,0.875605815831987,0.47901016349977904
xgboost_model_98,0.25,0.296891557753444,0.905223478729133,0.4471339273839606
xgboost_model_98,0.2,0.2641884656570292,0.9299946149703824,0.4114843936144865
xgboost_model_98,0.9,0.8932584269662921,0.2568659127625202,0.3989962358845671
xgboost_model_98,0.15,0.2298760600130463,0.9488422186322025,0.3700903171602605
xgboost_model_98,0.1,0.1962260034904014,0.9687668282175552,0.32634920634920633
xgboost_model_98,0.05,0.14650698602794412,0.9881529348411416,0.2551800862188847
xgboost_model_98,0.95,0.950381679389313,0.13408723747980614,0.2350165172251062
