model_name,threshold,precision_1,recall_1,f1_1
xgboost_model_228,0.8,0.5648320895522388,0.6521270866989769,0.6053486628342915
xgboost_model_228,0.85,0.6095928611266035,0.5885837372105547,0.5989041095890411
xgboost_model_228,0.75,0.5118389897395422,0.6984383414108778,0.5907538146208153
xgboost_model_228,0.9,0.6846321922796795,0.5061927840603123,0.5820433436532507
xgboost_model_228,0.7,0.47589316684009714,0.7388260635433495,0.5789029535864979
xgboost_model_228,0.65,0.44114002478314746,0.7668282175551966,0.56007866273353
xgboost_model_228,0.6,0.41429369067560023,0.7991383952611739,0.5456885456885456
xgboost_model_228,0.55,0.383843452082288,0.8239095315024233,0.5237035769296594
xgboost_model_228,0.5,0.36157931193719695,0.8432956381260097,0.5061409179056238
xgboost_model_228,0.95,0.7961630695443646,0.35756596661281637,0.49349684132292826
xgboost_model_228,0.45,0.33875739644970415,0.8632202477113624,0.4865685232964031
xgboost_model_228,0.4,0.31547388781431335,0.8782983306408185,0.4642094777287605
xgboost_model_228,0.35,0.2943684491028602,0.8922994076467421,0.4426930269837029
xgboost_model_228,0.3,0.27569331158238175,0.9100700053850296,0.4231876799799674
xgboost_model_228,0.25,0.2549457087609698,0.9229940764674206,0.3995337995337995
xgboost_model_228,0.2,0.23367374361730717,0.9364566505115778,0.37401871168942896
xgboost_model_228,0.15,0.21003805899143674,0.9509962304792676,0.3440818314661471
xgboost_model_228,0.1,0.182325487012987,0.9676898222940227,0.3068385554512081
xgboost_model_228,0.05,0.14967266775777413,0.9849219170705439,0.25985650351637424
