model_name,threshold,precision_1,recall_1,f1_1
xgboost_model_335,0.76,0.6424870466321243,0.6009693053311793,0.6210350584307178
xgboost_model_335,0.77,0.6508313539192399,0.5901992460958535,0.6190341711380966
xgboost_model_335,0.73,0.613262599469496,0.6225094238018309,0.6178514163548904
xgboost_model_335,0.75,0.6307519640852974,0.6052773290253096,0.6177521297059632
xgboost_model_335,0.72,0.6027749229188079,0.6316639741518578,0.6168814094136208
xgboost_model_335,0.7,0.5889872173058014,0.6451265481960151,0.6157800051400668
xgboost_model_335,0.74,0.6203501094091903,0.6106623586429726,0.6154681139755767
xgboost_model_335,0.69,0.5831325301204819,0.6515885837372105,0.6154628687690743
xgboost_model_335,0.71,0.594079277471149,0.6375875067312871,0.6150649350649351
xgboost_model_335,0.78,0.6548780487804878,0.5783521809369951,0.614240777809551
xgboost_model_335,0.79,0.664366373902133,0.5702746365105008,0.6137351492321066
xgboost_model_335,0.67,0.5731650303880318,0.6602046311254712,0.6136136136136137
xgboost_model_335,0.68,0.5769961977186312,0.6537425955842757,0.6129765210805352
xgboost_model_335,0.8,0.6707317073170732,0.5627355950457728,0.6120058565153733
xgboost_model_335,0.66,0.5658558972005507,0.6639741518578353,0.6110009910802775
xgboost_model_335,0.65,0.5595505617977528,0.6704361873990307,0.6099951004409603
xgboost_model_335,0.64,0.5536971830985915,0.6774367259019924,0.6093485105352385
xgboost_model_335,0.81,0.6779324055666004,0.5508885298869144,0.6078431372549019
xgboost_model_335,0.82,0.6877551020408164,0.5444264943457189,0.6077547339945897
xgboost_model_335,0.83,0.6978873239436619,0.5336564351103931,0.6048214830637778
xgboost_model_335,0.63,0.5427221983683984,0.6806677436725902,0.6039178213091256
xgboost_model_335,0.62,0.5372250423011844,0.683898761443188,0.6017531390665719
xgboost_model_335,0.61,0.5335276967930029,0.6898222940226171,0.601690934711132
xgboost_model_335,0.59,0.522417934347478,0.7027463651050081,0.5993111366245695
xgboost_model_335,0.6,0.5263157894736842,0.6946688206785138,0.5988857938718662
xgboost_model_335,0.84,0.7032727272727273,0.5207323640280022,0.5983910891089109
xgboost_model_335,0.58,0.514330585001963,0.7054388799138396,0.594913714804723
xgboost_model_335,0.85,0.7099697885196374,0.5061927840603123,0.5910091166299906
xgboost_model_335,0.57,0.5061491160645657,0.7092084006462036,0.5907154070419377
xgboost_model_335,0.56,0.5020841227737779,0.7135164243403339,0.5894128113879004
xgboost_model_335,0.55,0.49795615013006317,0.7215939687668282,0.5892700087950747
xgboost_model_335,0.53,0.48778735632183906,0.7312870220786214,0.5852187028657617
xgboost_model_335,0.54,0.4906968259759212,0.7242864835756596,0.5850369725967812
xgboost_model_335,0.52,0.4821617802896503,0.7350565428109854,0.5823378839590444
xgboost_model_335,0.86,0.7183544303797469,0.48896068928379105,0.581864786927267
xgboost_model_335,0.51,0.47729636048526863,0.7415185783521809,0.5807676086039646
xgboost_model_335,0.5,0.47282608695652173,0.7495961227786753,0.5798791918350343
xgboost_model_335,0.49,0.469,0.7576736672051696,0.5793699814700433
xgboost_model_335,0.48,0.46578947368421053,0.7625201938610663,0.5783132530120482
xgboost_model_335,0.87,0.7286184210526315,0.4771136241249327,0.5766352098926131
xgboost_model_335,0.47,0.4600452927855063,0.7657512116316639,0.5747776879547292
xgboost_model_335,0.46,0.4548919949174079,0.7711362412493269,0.5722277722277722
xgboost_model_335,0.88,0.7428817946505608,0.46365105008077545,0.5709549071618037
xgboost_model_335,0.45,0.4497652582159624,0.7738287560581584,0.5688836104513064
xgboost_model_335,0.44,0.44523295279234804,0.777059773828756,0.5661043546488819
xgboost_model_335,0.43,0.4420224038752649,0.786214324178783,0.5658914728682171
xgboost_model_335,0.42,0.4374627754615843,0.7910608508346796,0.5633748801534036
xgboost_model_335,0.89,0.7563868613138686,0.4464189553042542,0.5614629190653573
xgboost_model_335,0.41,0.4314988290398126,0.7937533656435111,0.5590745306277262
xgboost_model_335,0.9,0.7776708373435997,0.4351103931071621,0.5580110497237569
xgboost_model_335,0.4,0.4263900893114376,0.7969843834141088,0.5555555555555556
xgboost_model_335,0.39,0.4192546583850932,0.7996768982229402,0.5501018707167994
xgboost_model_335,0.38,0.41430161380077907,0.8018309100700054,0.5463217758209503
xgboost_model_335,0.91,0.7897435897435897,0.4146472805600431,0.5437853107344632
xgboost_model_335,0.37,0.408619749045281,0.806677436725902,0.5424588086185045
xgboost_model_335,0.36,0.40365002683843265,0.8099084544964997,0.538778434533405
xgboost_model_335,0.35,0.398784355179704,0.8126009693053312,0.535011522779649
xgboost_model_335,0.92,0.810989010989011,0.3974151857835218,0.533429707264185
xgboost_model_335,0.34,0.3931912681912682,0.8147549811523963,0.5304119193689746
xgboost_model_335,0.33,0.3881932021466905,0.8179859989229941,0.5265164644714038
xgboost_model_335,0.32,0.38140464883779057,0.8217555196553581,0.5209969272789348
xgboost_model_335,0.31,0.376594700686948,0.8266020463112547,0.5174448002696781
xgboost_model_335,0.93,0.8299643281807372,0.37587506731287024,0.5174203113417346
xgboost_model_335,0.3,0.37315954622254405,0.8325255788906839,0.5153333333333333
xgboost_model_335,0.29,0.37000950570342206,0.8384491114701131,0.5134377576257213
xgboost_model_335,0.28,0.3650571495218101,0.8427571351642434,0.5094401041666666
xgboost_model_335,0.27,0.36120018323408154,0.8492191707054388,0.5068295034549253
xgboost_model_335,0.26,0.35541086663673105,0.8524501884760366,0.5016637616859452
xgboost_model_335,0.94,0.8493506493506493,0.35218093699515346,0.49790635706128666
xgboost_model_335,0.25,0.35051773518396123,0.8567582121701669,0.49749843652282677
xgboost_model_335,0.24,0.3449244060475162,0.8599892299407647,0.49236935409280097
xgboost_model_335,0.23,0.33975852573607285,0.8637587506731287,0.48768622681666157
xgboost_model_335,0.22,0.3353442895776992,0.868066774367259,0.4837935174069628
xgboost_model_335,0.21,0.32960780329201383,0.873451803984922,0.4786072587784007
xgboost_model_335,0.2,0.32359952324195473,0.877221324717286,0.4727905964301263
xgboost_model_335,0.95,0.8670520231213873,0.32310177705977383,0.4707728520988623
xgboost_model_335,0.19,0.31732817037754113,0.8826063543349488,0.46681857020791795
xgboost_model_335,0.18,0.31185031185031187,0.8885298869143781,0.4616675993284835
xgboost_model_335,0.17,0.3052787006275378,0.8906838987614432,0.45470790378006876
xgboost_model_335,0.16,0.2991007194244604,0.8955304254173398,0.4484292840771201
xgboost_model_335,0.15,0.2929097929097929,0.8987614431879375,0.44182660489741893
xgboost_model_335,0.14,0.2860802732707088,0.9019924609585352,0.43438796680497926
xgboost_model_335,0.13,0.2797272576085149,0.9057619816908993,0.42744599745870393
xgboost_model_335,0.12,0.2723459180380768,0.908992999461497,0.4191185599006828
xgboost_model_335,0.11,0.26598905394839717,0.9159935379644588,0.41226369365002424
xgboost_model_335,0.1,0.25870646766169153,0.9240710823909531,0.4042402826855124
xgboost_model_335,0.09,0.2503987240829346,0.9299946149703824,0.3945624857208133
xgboost_model_335,0.08,0.24250034882098506,0.9359181475498115,0.38519503546099293
xgboost_model_335,0.07,0.2340994120791021,0.9434571890145396,0.37512043678407025
xgboost_model_335,0.06,0.22424088425867106,0.9504577275175013,0.3628700657894737
xgboost_model_335,0.05,0.2132467844692872,0.9553042541733979,0.3486635220125786
