model_name,threshold,precision_1,recall_1,f1_1
xgboost_model_326,0.63,0.6108808290155441,0.6348949919224556,0.6226564562978611
xgboost_model_326,0.62,0.6039553752535497,0.6413570274636511,0.6220945416557848
xgboost_model_326,0.64,0.6159535129424194,0.6278944534194938,0.6218666666666667
xgboost_model_326,0.59,0.5850760456273765,0.6628971459343026,0.6215602120676597
xgboost_model_326,0.65,0.6215633423180593,0.620893914916532,0.6212284482758621
xgboost_model_326,0.58,0.5789473684210527,0.6693591814754981,0.6208791208791209
xgboost_model_326,0.7,0.6617826617826618,0.5837372105546581,0.6203147353361945
xgboost_model_326,0.6,0.5887760038703435,0.6553581044695745,0.6202854230377166
xgboost_model_326,0.68,0.6436848203939745,0.5982767905223478,0.6201507116941111
xgboost_model_326,0.61,0.5962207856787668,0.6456650511577814,0.6199586349534644
xgboost_model_326,0.57,0.5718194254445964,0.6752827140549273,0.6192592592592593
xgboost_model_326,0.66,0.6260341974627689,0.6112008616047389,0.6185286103542235
xgboost_model_326,0.69,0.6500297088532383,0.589122240172321,0.6180790960451977
xgboost_model_326,0.67,0.6329757199322417,0.6036618201400108,0.6179713340683572
xgboost_model_326,0.56,0.5653536257833482,0.6801292407108239,0.6174529454901002
xgboost_model_326,0.71,0.6683417085427136,0.5729671513193323,0.6169904320092781
xgboost_model_326,0.72,0.6758664955070603,0.567043618739903,0.6166910688140557
xgboost_model_326,0.55,0.5597179374173645,0.683898761443188,0.6156083373727581
xgboost_model_326,0.54,0.5543006081668115,0.6871297792137857,0.613609040634768
xgboost_model_326,0.73,0.6820885657633841,0.555735056542811,0.6124629080118694
xgboost_model_326,0.74,0.690379403794038,0.5487345180398492,0.6114611461146114
xgboost_model_326,0.51,0.5391268533772653,0.7049003769520732,0.6109684947491248
xgboost_model_326,0.5,0.5354969574036511,0.7108239095315024,0.6108283202221194
xgboost_model_326,0.53,0.546575925138239,0.6919763058696823,0.6107414448669202
xgboost_model_326,0.52,0.5422240802675585,0.6984383414108778,0.610496587432337
xgboost_model_326,0.75,0.6993736951983298,0.5411954765751211,0.6102003642987249
xgboost_model_326,0.48,0.5244945567651633,0.7264404954227248,0.6091668548205013
xgboost_model_326,0.49,0.5287356321839081,0.7183629509962305,0.6091324200913242
xgboost_model_326,0.47,0.518462124095927,0.7334410339256866,0.6074933095450491
xgboost_model_326,0.76,0.7074047447879224,0.529886914378029,0.6059113300492611
xgboost_model_326,0.46,0.5104399701715138,0.7372105546580506,0.6032165675258867
xgboost_model_326,0.45,0.5042109117539363,0.7415185783521809,0.6002615518744551
xgboost_model_326,0.77,0.7165295437546746,0.5158858373721056,0.5998747651847214
xgboost_model_326,0.44,0.4985611510791367,0.7463651050080775,0.5978003019193444
xgboost_model_326,0.43,0.4929627023223082,0.7544426494345718,0.5962970844860609
xgboost_model_326,0.78,0.7223076923076923,0.505654281098546,0.5948685460880583
xgboost_model_326,0.42,0.4868965517241379,0.7603661820140011,0.593651461004835
xgboost_model_326,0.79,0.733704292527822,0.4970382337102854,0.5926163723916533
xgboost_model_326,0.41,0.4822214696918388,0.7668282175551966,0.5920997920997921
xgboost_model_326,0.4,0.4736493205170699,0.769520732364028,0.5863766926549036
xgboost_model_326,0.8,0.7407407407407407,0.48465266558966075,0.5859375
xgboost_model_326,0.39,0.46701332466688333,0.7738287560581584,0.5824888528577219
xgboost_model_326,0.81,0.7506404782237404,0.47334410339256866,0.5805812417437253
xgboost_model_326,0.38,0.4610472541507024,0.7775982767905224,0.5788735217478452
xgboost_model_326,0.37,0.45417578980294027,0.7819063004846527,0.5745943806885635
xgboost_model_326,0.36,0.4499385749385749,0.7889068389876144,0.5730490905534911
xgboost_model_326,0.82,0.7602495543672014,0.45934302638664515,0.5726753944276602
xgboost_model_326,0.35,0.44410967158782766,0.7937533656435111,0.5695517774343122
xgboost_model_326,0.83,0.7731481481481481,0.44964997307485194,0.5686074225400068
xgboost_model_326,0.34,0.4374079528718704,0.7996768982229402,0.5654988575780655
xgboost_model_326,0.33,0.4332850940665702,0.8061389337641357,0.5636295180722891
xgboost_model_326,0.32,0.4271954674220963,0.8120624663435649,0.5598663449043995
xgboost_model_326,0.84,0.7834951456310679,0.4345718901453958,0.5590578455143748
xgboost_model_326,0.31,0.42226540810660745,0.8190630048465266,0.5572449166514013
xgboost_model_326,0.3,0.41397995123272824,0.8228325255788906,0.5508291276135544
xgboost_model_326,0.85,0.7948717948717948,0.41733979536887456,0.547316384180791
xgboost_model_326,0.29,0.4077412513255567,0.8282175551965536,0.546455853615207
xgboost_model_326,0.28,0.40062192277792175,0.8325255788906839,0.5409377186843947
xgboost_model_326,0.86,0.8066595059076263,0.4044157242864836,0.5387374461979914
xgboost_model_326,0.27,0.39283009341075487,0.8379106085083468,0.5348917153661051
xgboost_model_326,0.26,0.3862290227048371,0.8427571351642434,0.5297004569301066
xgboost_model_326,0.87,0.8167420814479638,0.3887991383952612,0.52681503101058
xgboost_model_326,0.25,0.38,0.8492191707054388,0.5250541035458631
xgboost_model_326,0.88,0.8351254480286738,0.3764135702746365,0.5189309576837416
xgboost_model_326,0.24,0.3725259189443921,0.851373182552504,0.5182756925094247
xgboost_model_326,0.23,0.36528735632183906,0.8556812062466344,0.5120025777348155
xgboost_model_326,0.22,0.36000896659941717,0.8648357565966612,0.5083887306109528
xgboost_model_326,0.89,0.8507653061224489,0.35918147549811524,0.5051117001135933
xgboost_model_326,0.21,0.35336538461538464,0.8707592891760905,0.5027203482045702
xgboost_model_326,0.2,0.3465957446808511,0.877221324717286,0.4968735702302882
xgboost_model_326,0.9,0.8639455782312925,0.341949380721594,0.48996913580246915
xgboost_model_326,0.19,0.33821708625670655,0.8826063543349488,0.4890347605549754
xgboost_model_326,0.18,0.33252574197456086,0.8869143780290791,0.48370044052863437
xgboost_model_326,0.17,0.32500983090837593,0.8901453957996769,0.47616304191271785
xgboost_model_326,0.91,0.8755490483162518,0.32202477113624123,0.47086614173228347
