model_name,threshold,precision_1,recall_1,f1_1
xgboost_model_152,0.8,0.5673823663773413,0.6688206785137318,0.6139396935244686
xgboost_model_152,0.85,0.6156819436775263,0.600430802369413,0.6079607415485279
xgboost_model_152,0.75,0.5130097087378641,0.7113624124932687,0.5961191335740073
xgboost_model_152,0.9,0.7020958083832335,0.5051157781367798,0.5875352333228938
xgboost_model_152,0.7,0.47292297342751427,0.7571351642434033,0.5821946169772256
xgboost_model_152,0.65,0.43270365997638727,0.7894453419493808,0.5590085795996187
xgboost_model_152,0.6,0.4050666666666667,0.8179859989229941,0.5418227215980025
xgboost_model_152,0.55,0.37876234047676377,0.8470651588583737,0.5234608985024959
xgboost_model_152,0.5,0.35208197078700676,0.8696822832525579,0.5012414649286158
xgboost_model_152,0.95,0.8326848249027238,0.345718901453958,0.4885844748858447
xgboost_model_152,0.45,0.327500497116723,0.8869143780290791,0.47836189369735693
xgboost_model_152,0.4,0.3082720588235294,0.9030694668820679,0.4596409483349322
xgboost_model_152,0.35,0.2874978910072549,0.9176090468497576,0.43782117163412126
xgboost_model_152,0.3,0.2663169264002469,0.929456112008616,0.41400815543295755
xgboost_model_152,0.25,0.2459546925566343,0.9413031771674745,0.3900044622936189
xgboost_model_152,0.2,0.22433701306940743,0.9520732364028002,0.36311357568289176
xgboost_model_152,0.15,0.19928746381652193,0.9639203015616586,0.33028877202693974
xgboost_model_152,0.1,0.17329382527241446,0.9763058696822833,0.29434207322022893
xgboost_model_152,0.05,0.1402076018928408,0.9892299407646742,0.24560465271742762
