model_name,threshold,precision_1,recall_1,f1_1
xgboost_model_308,0.83,0.6004077471967381,0.6343564889606893,0.6169154228855721
xgboost_model_308,0.84,0.6135394456289979,0.6198169089929995,0.6166622019823198
xgboost_model_308,0.82,0.5866276232308443,0.6472805600430802,0.615463389656938
xgboost_model_308,0.81,0.5751173708920188,0.6596661281637048,0.6144971156257838
xgboost_model_308,0.8,0.5655328798185941,0.6715131933225633,0.6139832594780896
xgboost_model_308,0.79,0.5547285464098074,0.682283252557889,0.61192948563149
xgboost_model_308,0.85,0.6183920704845814,0.6047388260635433,0.6114892458480806
xgboost_model_308,0.86,0.6319444444444444,0.5880452342487884,0.6092050209205021
xgboost_model_308,0.78,0.5440677966101695,0.691437802907916,0.6089637182831397
xgboost_model_308,0.87,0.6428141912206855,0.5756596661281637,0.6073863636363637
xgboost_model_308,0.77,0.5329218106995884,0.6973613354873451,0.6041520877070212
xgboost_model_308,0.88,0.6615384615384615,0.555735056542811,0.6040386303775241
xgboost_model_308,0.76,0.5254713196951464,0.7054388799138396,0.6022988505747127
xgboost_model_308,0.75,0.5193434935521688,0.715670436187399,0.6019021739130435
xgboost_model_308,0.74,0.511043412033511,0.7226709746903608,0.5987062235110417
xgboost_model_308,0.89,0.6771331058020478,0.5341949380721593,0.5972305839855508
xgboost_model_308,0.73,0.5037202380952381,0.7291330102315563,0.5958195819581958
xgboost_model_308,0.9,0.6999271667880553,0.5175013462574044,0.595046439628483
xgboost_model_308,0.72,0.49330437929786464,0.7339795368874529,0.59004329004329
xgboost_model_308,0.91,0.7208756841282252,0.4964997307485191,0.5880102040816326
xgboost_model_308,0.71,0.4853821768228249,0.7420570813139472,0.5868824531516184
xgboost_model_308,0.7,0.478815018945918,0.7485191168551427,0.5840336134453782
xgboost_model_308,0.69,0.473630831643002,0.7544426494345718,0.5819314641744548
xgboost_model_308,0.68,0.46788079470198674,0.7609046849757674,0.579454582735288
xgboost_model_308,0.92,0.7371524852569503,0.4711900915455035,0.5749014454664915
xgboost_model_308,0.67,0.4604409857328145,0.7646742057081314,0.57478243270593
xgboost_model_308,0.66,0.45463167878596267,0.7743672590199246,0.5729083665338646
xgboost_model_308,0.65,0.4479553903345725,0.778675282714055,0.568731563421829
xgboost_model_308,0.64,0.43870772946859904,0.782444803446419,0.5621977171599922
xgboost_model_308,0.93,0.76269621421976,0.4448034464189553,0.5619047619047619
xgboost_model_308,0.63,0.4333135743924126,0.7872913301023156,0.5589753393232652
xgboost_model_308,0.62,0.4291958041958042,0.7932148626817448,0.5570051049347703
xgboost_model_308,0.61,0.42245072836332476,0.7964458804523424,0.5520716685330347
xgboost_model_308,0.6,0.4184217916315642,0.8023694130317717,0.5500184569952011
xgboost_model_308,0.94,0.7862903225806451,0.420032310177706,0.5475605475605475
xgboost_model_308,0.59,0.41356492969396197,0.8077544426494345,0.5470459518599562
xgboost_model_308,0.58,0.40723737510126923,0.8120624663435649,0.5424460431654676
xgboost_model_308,0.57,0.40122145512480084,0.8136779752288638,0.5374355326338254
xgboost_model_308,0.56,0.3967716740432179,0.8206785137318255,0.534924534924535
xgboost_model_308,0.55,0.39221710189452125,0.8249865374259558,0.5316675342703453
xgboost_model_308,0.54,0.3850574712643678,0.8298330640818524,0.5260283324799454
xgboost_model_308,0.53,0.38030935428431134,0.8341410877759827,0.5224283305227656
xgboost_model_308,0.52,0.3752105896510229,0.8395261173936457,0.5186294078509648
xgboost_model_308,0.95,0.8204225352112676,0.3764135702746365,0.5160575858250277
