model_name,threshold,precision_1,recall_1,f1_1
xgboost_model_194,0.6,0.5584070796460177,0.6795907377490576,0.6130677677920816
xgboost_model_194,0.65,0.5883233532934131,0.6348949919224556,0.6107226107226107
xgboost_model_194,0.7,0.6285060103033773,0.5912762520193862,0.609322974472808
xgboost_model_194,0.55,0.5273809523809524,0.715670436187399,0.6072652501713502
xgboost_model_194,0.75,0.6763122476446837,0.5411954765751211,0.6012563565659588
xgboost_model_194,0.5,0.4917224374779852,0.7517501346257405,0.5945485519591142
xgboost_model_194,0.8,0.7306451612903225,0.4878836833602585,0.585082337746206
xgboost_model_194,0.45,0.45637795275590554,0.7802907915993538,0.5759141494435612
xgboost_model_194,0.4,0.42423390497610347,0.8126009693053312,0.5574436645733284
xgboost_model_194,0.85,0.7997946611909651,0.4194938072159397,0.5503355704697986
xgboost_model_194,0.35,0.39213709677419356,0.8379106085083468,0.5342489270386266
xgboost_model_194,0.3,0.3604390681003584,0.8664512654819602,0.5090966619205822
xgboost_model_194,0.25,0.3288950715421304,0.8912224017232094,0.4804761213528814
xgboost_model_194,0.9,0.8581765557163531,0.3193322563274098,0.4654631083202512
xgboost_model_194,0.2,0.2964192139737991,0.9138395261173936,0.4476391453442363
xgboost_model_194,0.15,0.2616892911010558,0.9343026386645127,0.4088606103452339
xgboost_model_194,0.1,0.22351453855878634,0.9520732364028002,0.362035425412102
xgboost_model_194,0.95,0.9340659340659341,0.1830910070005385,0.30616839261593876
xgboost_model_194,0.05,0.17398373983739837,0.979536887452881,0.29548408057179987
