model_name,threshold,precision_1,recall_1,f1_1
xgboost_model_17,0.3,0.6168903803131991,0.5939687668282175,0.6052126200274348
xgboost_model_17,0.25,0.5662251655629139,0.6445880452342488,0.6028708133971292
xgboost_model_17,0.35,0.6622864651773982,0.5428109854604201,0.5966262207753773
xgboost_model_17,0.2,0.5130848532910388,0.6968228325255789,0.5910025119890386
xgboost_model_17,0.4,0.6997708174178763,0.49326871297792135,0.5786481364497789
xgboost_model_17,0.15,0.4469744229569557,0.7716747442110932,0.5660675488840609
xgboost_model_17,0.45,0.7515808491418248,0.44803446418955306,0.5614035087719298
xgboost_model_17,0.5,0.7925925925925926,0.403338718362951,0.5346181299072091
xgboost_model_17,0.1,0.35240427426536064,0.8524501884760366,0.4986612064892109
xgboost_model_17,0.55,0.8295454545454546,0.35379644588045234,0.4960362400906002
xgboost_model_17,0.6,0.8558692421991084,0.31017770597738287,0.4553359683794466
xgboost_model_17,0.65,0.8846815834767642,0.27679052234787294,0.42165709598031176
xgboost_model_17,0.05,0.240499306518724,0.9337641357027464,0.38248593801698466
xgboost_model_17,0.7,0.9102564102564102,0.2294022617124394,0.3664516129032258
xgboost_model_17,0.75,0.927027027027027,0.18470651588583736,0.30803771890435566
xgboost_model_17,0.8,0.9568345323741008,0.14324178782983307,0.24918032786885247
xgboost_model_17,0.85,0.975,0.1050080775444265,0.18959649975692758
xgboost_model_17,0.9,1.0,0.06569736133548734,0.12329459322890349
xgboost_model_17,0.95,1.0,0.011308562197092083,0.022364217252396165
