model_name,threshold,precision_1,recall_1,f1_1
xgboost_model_88,0.85,0.6004319654427646,0.5988152934841141,0.5996225397681316
xgboost_model_88,0.8,0.5343576611182245,0.6742057081313947,0.5961904761904762
xgboost_model_88,0.75,0.4862482369534556,0.7425955842757135,0.5876837843596846
xgboost_model_88,0.9,0.706605222734255,0.49542272482498656,0.5824628046850269
xgboost_model_88,0.7,0.43710785778308936,0.7878298330640818,0.5622598001537279
xgboost_model_88,0.65,0.3948045267489712,0.8266020463112547,0.5343777197563099
xgboost_model_88,0.6,0.3592827961870177,0.8524501884760366,0.5055085422321571
xgboost_model_88,0.55,0.3251951170702421,0.8750673128702208,0.4741756638459294
xgboost_model_88,0.95,0.8314447592067988,0.31610123855681205,0.4580569644947327
xgboost_model_88,0.5,0.30362976406533576,0.9009154550350027,0.45418759332156916
xgboost_model_88,0.45,0.28003939592908733,0.9186860527732903,0.42923638193483454
xgboost_model_88,0.4,0.2582425779501716,0.9321486268174475,0.4044392523364486
xgboost_model_88,0.35,0.2388934314527119,0.9439956919763058,0.38129418162044587
xgboost_model_88,0.3,0.22096352545748787,0.9558427571351642,0.358948432760364
xgboost_model_88,0.25,0.2032898468519569,0.9649973074851912,0.335832083958021
xgboost_model_88,0.2,0.18214716525934863,0.975767366720517,0.3069885641677255
xgboost_model_88,0.15,0.1635417601148291,0.9816908992999461,0.28037526914795446
xgboost_model_88,0.1,0.13993615080571603,0.9913839526117394,0.24525411310197828
xgboost_model_88,0.05,0.11557443618416943,0.996230479267636,0.2071204657411554
