model_name,threshold,precision_1,recall_1,f1_1
xgboost_model_235,0.7,0.5746958637469587,0.6359719978459881,0.6037832310838446
xgboost_model_235,0.75,0.6059782608695652,0.600430802369413,0.603191777116581
xgboost_model_235,0.8,0.6519546027742749,0.5568120624663435,0.6006389776357828
xgboost_model_235,0.65,0.5435448577680525,0.6688206785137318,0.5997102848865282
xgboost_model_235,0.85,0.704119850187266,0.5061927840603123,0.5889724310776943
xgboost_model_235,0.6,0.5111111111111111,0.6935918147549811,0.5885309572766735
xgboost_model_235,0.55,0.4819233550253073,0.7178244480344642,0.5766818083495565
xgboost_model_235,0.5,0.45539280958721706,0.7366720516962844,0.5628471507920181
xgboost_model_235,0.9,0.7626641651031895,0.4378029079159935,0.5562777967841259
xgboost_model_235,0.45,0.43069908814589664,0.7630586968228326,0.5506120069943656
xgboost_model_235,0.4,0.4061890158907165,0.7845988152934841,0.535268185157972
xgboost_model_235,0.35,0.3824052885837783,0.8099084544964997,0.5195164075993092
xgboost_model_235,0.3,0.35803612783696154,0.8325255788906839,0.5007287449392712
xgboost_model_235,0.25,0.33678209459459457,0.8589122240172321,0.48384650386773853
xgboost_model_235,0.95,0.8456090651558074,0.32148626817447495,0.46586031993757315
xgboost_model_235,0.2,0.3107645492582731,0.8799138395261173,0.45931131412508786
xgboost_model_235,0.15,0.28323504633529906,0.905223478729133,0.43146817248459957
xgboost_model_235,0.1,0.25,0.9278406031233172,0.3938735855526346
xgboost_model_235,0.05,0.2050480490911196,0.9536887452880991,0.33752620545073375
